iter	Passed	Remaining
410	3402	4875
411	3409	4866
412	3417	4856
413	3424	4846
414	3432	4838
415	3440	4829
416	3447	4820
417	3455	4811
418	3464	4803
419	3472	4795
420	3479	4785
421	3487	4776
422	3494	4766
423	3501	4756
424	3508	4746
425	3514	4736
426	3521	4725
427	3528	4715
428	3534	4704
429	3541	4694
430	3547	4682
431	3553	4672
432	3559	4661
433	3565	4650
434	3571	4639
435	3578	4628
436	3584	4618
437	3590	4607
438	3597	4597
439	3604	4587
440	3610	4576
441	3617	4566
442	3623	4556
443	3629	4545
444	3636	4535
445	3642	4524
446	3648	4514
447	3654	4503
448	3661	4493
449	3667	4482
450	3674	4472
451	3680	4462
452	3686	4451
453	3693	4441
454	3699	4431
455	3706	4421
456	3712	4411
457	3719	4401
458	3725	4390
459	3732	4381
460	3738	4371
461	3744	4360
462	3751	4350
463	3757	4340
464	3763	4329
465	3771	4322
466	3778	4312
467	3784	4302
468	3790	4292
469	3797	4281
470	3803	4271
471	3809	4261
472	3816	4251
473	3822	4242
474	3828	4232
475	3835	4222
476	3841	4212
477	3848	4202
478	3854	4192
479	3861	4183
480	3868	4173
481	3874	4163
482	3881	4154
483	3887	4144
484	3893	4134
485	3900	4125
486	3907	4116
487	3914	4106
488	3920	4097
489	3927	4087
490	3933	4077
491	3940	4068
492	3946	4058
493	3952	4048
494	3959	4039
495	3966	4030
496	3972	4020
497	3979	4011
498	3986	4002
499	3992	3992
500	3998	3983
501	4005	3973
502	4011	3963
503	4018	3954
504	4024	3945
505	4031	3936
506	4038	3926
507	4044	3917
508	4051	3907
509	4057	3898
510	4063	3888
511	4070	3879
512	4076	3870
513	4083	3861
514	4090	3851
515	4096	3842
516	4103	3833
517	4110	3824
518	4116	3815
519	4123	3806
520	4129	3797
521	4136	3788
522	4143	3778
523	4149	3769
524	4156	3760
525	4162	3751
526	4170	3743
527	4177	3734
528	4184	3725
529	4190	3716
530	4197	3707
531	4204	3698
532	4210	3689
533	4217	3680
534	4223	3670
535	4230	3661
536	4236	3652
537	4242	3643
538	4249	3634
539	4255	3625
540	4261	3615
541	4267	3606
542	4274	3597
543	4281	3588
544	4287	3579
545	4294	3570
546	4300	3561
547	4307	3553
548	4314	3544
549	4320	3535
550	4327	3526
551	4333	3517
552	4340	3508
553	4346	3499
554	4352	3490
555	4359	3481
556	4365	3472
557	4371	3462
558	4377	3453
559	4384	3444
560	4390	3435
561	4397	3427
562	4403	3418
563	4410	3409
564	4416	3400
565	4423	3391
566	4429	3382
567	4436	3374
568	4443	3365
569	4449	3356
570	4456	3348
571	4462	3339
572	4469	3330
573	4475	3321
574	4481	3312
575	4488	3303
576	4495	3295
577	4502	3287
578	4510	3279
579	4517	3271
580	4525	3263
581	4532	3255
582	4540	3247
583	4548	3239
584	4556	3232
585	4565	3225
586	4574	3218
587	4583	3211
588	4593	3205
589	4603	3199
590	4612	3192
591	4622	3186
592	4631	3179
593	4642	3172
594	4651	3166
595	4660	3159
596	4670	3152
597	4680	3146
598	4689	3139
599	4697	3131
600	4706	3124
601	4714	3117
602	4723	3109
603	4732	3102
604	4741	3095
605	4749	3088
606	4759	3081
607	4768	3074
608	4776	3066
609	4786	3060
610	4794	3052
611	4803	3045
612	4812	3038
613	4822	3031
614	4830	3023
615	4838	3016
616	4847	3008
617	4857	3002
618	4865	2994
619	4874	2987
620	4883	2980
621	4891	2972
622	4899	2964
623	4907	2957
624	4916	2949
625	4924	2941
626	4931	2934
627	4940	2926
